Number of Spheres: 1964
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -3.06869, variance 0
Mean coordination No. 12.8267
0.149542 0.717613 0.871837 0.0464818
0.754531 0.997665 0.708217 0.0464818
0.795947 0.958026 0.418353 0.0464818
0.382102 0.397587 0.976918 0.0464818
0.879879 0.0817197 0.834101 0.0464818
0.409231 0.032694 0.563679 0.0464818
0.227275 0.344273 0.429545 0.0464818
0.889617 0.799217 0.0153636 0.0464818
0.479362 0.513535 0.144185 0.0464818
0.805916 0.806018 0.111887 0.0464818
0.448989 0.593639 0.18028 0.0464818
0.99673 0.318716 0.219505 0.0464818
0.340466 0.190191 0.536099 0.0464818
0.370119 0.189957 0.838299 0.0464818
0.843465 0.0256278 0.682786 0.0464818
0.338146 0.457996 0.125006 0.0464818
0.292809 0.686502 0.785016 0.0464818
0.30119 0.380257 0.473564 0.0464818
0.83045 0.955585 0.97884 0.0464818
0.813365 0.78416 0.763905 0.0464818
0.903544 0.260302 0.762755 0.0464818
0.312025 0.894581 0.420819 0.0464818
0.461544 0.314903 0.937297 0.0464818
0.952661 0.358787 0.114358 0.0464818
0.220919 0.863261 0.243942 0.0464818
0.300013 0.509173 0.0569533 0.0464818
0.355486 0.622618 0.952288 0.0464818
0.697267 0.318729 0.611005 0.0464818
0.505147 0.567732 0.827592 0.0464818
0.887637 0.340826 0.349482 0.0464818
0.342022 0.533205 0.805792 0.0464818
0.53679 0.38451 0.417152 0.0464818
0.157315 0.633189 0.519908 0.0464818
0.883529 0.944351 0.817881 0.0464818
0.289919 0.0541401 0.154087 0.0464818
0.152349 0.624717 0.612351 0.0464818
0.799198 0.565188 0.38469 0.0464818
0.236299 0.400586 0.740897 0.0464818
0.654389 0.202675 0.696413 0.0464818
0.66407 0.0127375 0.692993 0.0464818
0.513175 0.915782 0.712556 0.0464818
0.959358 0.948884 0.335277 0.0464818
0.215363 0.250662 0.839311 0.0464818
0.425575 0.875525 0.942101 0.0464818
0.182848 0.714919 0.482001 0.0464818
0.734849 0.278522 0.536083 0.0464818
0.583828 0.608098 0.461601 0.0464818
0.635203 0.119073 0.498563 0.0464818
0.499331 0.667265 0.213494 0.0464818
0.232545 0.862704 0.795986 0.0464818
0.526641 0.968987 0.482007 0.0464818
0.000590717 0.414724 0.44246 0.0464818
0.744182 0.883531 0.137612 0.0464818
0.280451 0.272512 0.151278 0.0464818
0.609322 0.466765 0.325722 0.0464818
0.749232 0.666629 0.300585 0.0464818
0.436158 0.143652 0.117335 0.0464818
0.215345 0.67189 0.661832 0.0464818
0.199848 0.0339285 0.165578 0.0464818
0.578891 0.687507 0.697518 0.0464818
0.125502 0.802531 0.214569 0.0464818
0.920792 0.66581 0.748318 0.0464818
0.0301292 0.058322 0.14456 0.0464818
0.317992 0.277928 0.959141 0.0464818
0.990755 0.35092 0.509352 0.0464818
0.273455 0.220865 0.425539 0.0464818
0.954357 0.451578 0.108947 0.0464818
0.549518 0.838304 0.453021 0.0464818
0.793528 0.592103 0.719612 0.0464818
0.720979 0.774043 0.0917508 0.0464818
0.577182 0.855769 0.681835 0.0464818
0.0236663 0.70838 0.561081 0.0464818
0.879324 0.878987 0.959185 0.0464818
0.885919 0.118756 0.199444 0.0464818
0.0406362 0.77491 0.937066 0.0464818
0.0951557 0.118907 0.876433 0.0464818
0.790371 0.265825 0.46261 0.0464818
0.550966 0.0371544 0.825308 0.0464818
0.240046 0.901956 0.571209 0.0464818
0.701307 0.757229 0.407256 0.0464818
0.440599 0.317652 0.846766 0.0464818
0.634746 0.408934 0.818073 0.0464818
0.740307 0.655814 0.984446 0.0464818
0.97524 0.809152 0.850716 0.0464818
0.827933 0.952303 0.74281 0.0464818
0.0662645 0.0112817 0.0141527 0.0464818
0.636062 0.0155435 0.855866 0.0464818
0.182233 0.279768 0.229322 0.0464818
0.109831 0.98671 0.629222 0.0464818
0.363078 0.389309 0.0675368 0.0464818
0.48344 0.240377 0.340973 0.0464818
0.518385 0.454138 0.0842091 0.0464818
0.366084 0.271576 0.60873 0.0464818
0.126736 0.516033 0.716331 0.0464818
0.490114 0.177666 0.431951 0.0464818
0.0342527 0.42892 0.816108 0.0464818
0.5006 0.0186822 0.573567 0.0464818
0.970153 0.98667 0.198209 0.0464818
0.369088 0.183595 0.744222 0.0464818
